,usage_date,percentage,total_usage_7_7_ccf,total_usage_7_7_therm,type,CREATED_DATETIME
57,2017-01-20,99.8,69850.86,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
58,2017-01-20,100.0,4715.2,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
59,2017-01-20,99.85,631366.67,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
60,2017-01-21,99.9,534924.37,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
61,2017-01-21,99.9,57456.06,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
62,2017-01-21,100.0,2572.5,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
63,2017-01-22,99.75,59460.68,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
64,2017-01-22,99.85,2620.46,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
65,2017-01-22,99.8,639587.04,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
66,2017-01-23,99.75,721183.42,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
67,2017-01-23,99.5,79917.62,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
68,2017-01-23,99.7,6589.14,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
69,2017-01-24,99.85,6465.08,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
70,2017-01-24,99.6,81680.8,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
71,2017-01-24,99.85,724689.97,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
72,2017-01-25,99.9,649021.38,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
73,2017-01-25,100.0,6269.64,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
74,2017-01-25,99.75,76383.55,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
75,2017-01-26,100.0,6193.0,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
76,2017-01-26,99.8,74873.48,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
